Spiller_Navn,N11_Sessions,N11_Total_Load,N11_Avg_Load_Min,N11_Load_SD,N11_Load_CV,N11_High_Sec,N11_VHigh_Sec,N11_Explosive_Sec,N11_Total_TOI,N11_Explosive_Acts,N11_Avg_Shifts,N11_High_Int_Pct,N11_Explosive_Rate,N11_Load_Per_Session,N11_ACWR_Latest,N11_ACWR_Max,N11_ACWR_Mean,N11_N_Spikes,N11_Max_Spike
Alexander Bexelius,86,1205.5000000000005,1.31042869007093,0.8172579696866332,0.6231814019887204,1503.0519999999992,293.8210000000001,134.46899999999997,0,144,15.744186046511626,NA,NA,14.017278868850367,1.2839764984966755,1.9538725694927828,1.0106529877255621,24,3.8355582524271874
Alexander Lou,206,5443.519999999996,2.326165993139509,2.8357635672173234,1.2185480432324818,8224.47,1896.5500000000002,1647.5499999999997,0,1535,20.436893203883493,NA,NA,26.424726093562633,0.42465947117877173,2.1370218136544272,0.9626229690736339,43,4.231964333963801
Bertil Sandum,606,17228.08999999999,2.0901620436956265,1.7265570819412237,0.8256448069848996,25302.529999999955,7098.104999999989,9996.44000000001,0,7982,17.99009900990099,NA,NA,28.429144506362185,0.8624386855927372,1.6544974232384881,0.9726870549917453,129,3.1437869822485385
Carl Hansen,739,15444.999999999987,1.7216962569264844,1.0886927962059847,0.6319702569902573,23020.86600000002,4977.497999999991,4085.1639999999975,0,4346,16.32611637347768,NA,NA,20.899836400762634,1.9503416765195092,2.2960795108805874,1.011847801959585,169,6.3010370370370294
Christoffer Gahrn,140,2804.189999999999,1.8058761206420917,1.2317813319199957,0.6817187508583986,4241.223,838.2819999999996,527.0380000000001,0,549,17.18571428571429,NA,NA,20.029785501532125,1.2982994501981837,1.7276203791274312,1.0600297612191587,32,3.1340531998946535
Elias Kentala,228,6366.969999999999,2.251348144004143,1.3349364908816017,0.5926865677649638,10737.60099999999,3025.5859999999975,3475.832,0,3155,16.39035087719298,NA,NA,27.9251845386643,0.5621798203281588,1.7266567323642705,1.0004349656251603,53,3.0963287849252956
Filip Marklund,151,2913.8000000000006,1.6140944019438133,1.9351102210556252,1.1981406280194296,4227.302000000003,1263.2549999999997,1628.5130000000004,0,1336,15.973509933774835,NA,NA,19.29656094992749,0.499167688001903,2.49775353016688,1.0150856310139815,40,4.323951920257982
Frederik Sørensen,889,12247.389999999996,1.1703439611432227,2.1116791899764142,1.802783179003571,10840.03999999997,2188.7439999999942,3506.8099999999954,0,2003,16.456692913385822,NA,NA,13.776576179329378,1.215634211651401,2.6485007278020376,0.9899560235646879,210,5.444444444444513
Frederik skovby,441,10361.589999999998,1.7898844798590499,1.4705019733872944,0.8211037562305689,18041.03099999998,3963.2670000000044,3042.8379999999993,0,2664,19.013605442176875,NA,NA,23.495615656200325,1.048758745509065,1.7314955887042507,0.989616665091434,93,3.1468408999056927
Hjalte Ellekær,465,7964.729999999993,1.367177064084509,1.5669961362395783,1.1453167703027574,8759.774999999989,2743.1550000000007,3380.575999999998,0,2335,17.35913978494623,NA,NA,17.128414777602615,1.0006330716637153,1.803459466271783,0.9656106134725897,93,3.3436204514048784
